iter	MultiClass
0	1.487466892
1	1.328888701
2	1.228614085
3	1.145498244
4	1.072383417
5	1.011297318
6	0.9656711132
7	0.9238801617
8	0.8999279199
9	0.8782732763
10	0.8436021704
11	0.8218169185
12	0.793918228
13	0.7794537211
14	0.7630771364
15	0.7487627635
16	0.7389754919
17	0.7261602461
18	0.7191141578
19	0.7119843986
20	0.7015278071
21	0.6929013233
22	0.6827720639
23	0.6679081818
24	0.6597507701
25	0.6540774114
26	0.6479878184
27	0.6409403926
28	0.635028954
29	0.6321574379
30	0.6263158349
31	0.6168178851
32	0.6130829003
33	0.6067926274
34	0.6022310059
35	0.5983158197
36	0.5951555612
37	0.5898319039
38	0.587420216
39	0.5862489215
40	0.5828611035
41	0.5784144721
42	0.5746583599
43	0.5723600543
44	0.5691173572
45	0.5677882595
46	0.5663491992
47	0.5635740066
48	0.5610507116
49	0.5596726655
50	0.5582271739
51	0.5570623917
52	0.5550869896
53	0.5529785028
54	0.5515418662
55	0.5507772266
56	0.5498579662
57	0.5480607113
58	0.5466665733
59	0.5457455713
60	0.5447775476
61	0.5428232266
62	0.5422690998
63	0.5406637345
64	0.5384132644
65	0.5377541181
66	0.5373147221
67	0.5359391919
68	0.535448017
69	0.534412023
70	0.5339804819
71	0.5331976751
72	0.5330135953
73	0.5323193947
74	0.5319270068
75	0.531451882
76	0.5312317587
77	0.5300041145
78	0.5296638287
79	0.5291711934
80	0.5278745163
81	0.5273121338
82	0.5254856168
83	0.5253594818
84	0.5248845693
85	0.5246525026
86	0.5241854259
87	0.5238499335
88	0.5235927929
89	0.5234083419
