iter	Passed	Remaining
0	21	1889
1	33	1460
2	46	1356
3	58	1250
4	70	1190
5	83	1169
6	98	1168
7	115	1183
8	132	1193
9	145	1162
10	159	1142
11	171	1116
12	182	1083
13	195	1059
14	205	1027
15	216	1000
16	229	983
17	241	965
18	254	949
19	264	924
20	275	903
21	286	884
22	299	872
23	311	855
24	321	835
25	335	825
26	347	810
27	360	799
28	369	777
29	380	760
30	393	749
31	406	736
32	418	723
33	433	713
34	447	703
35	459	689
36	471	675
37	485	664
38	511	669
39	525	656
40	538	643
41	555	635
42	571	624
43	584	611
44	595	595
45	606	579
46	618	565
47	632	553
48	643	538
49	658	526
50	672	513
51	687	502
52	700	488
53	717	478
54	727	462
55	744	451
56	760	440
57	776	428
58	788	414
59	797	398
60	808	384
61	818	369
62	826	354
63	837	340
64	848	326
65	866	315
66	877	301
67	887	287
68	896	272
69	910	260
70	923	247
71	935	233
72	945	220
73	959	207
74	972	194
75	983	181
76	994	167
77	1004	154
78	1016	141
79	1025	128
80	1036	115
81	1045	102
82	1056	89
83	1066	76
84	1075	63
85	1082	50
86	1093	37
87	1101	25
88	1112	12
89	1123	0
